Priority,Company,HQ,Scale (as publicly stated),States,Model,Why they fit,Source
1,Prospect #1 (warm intro; details kept offline),Oklahoma,Not recorded here,OK,"Management, consulting, turnarounds","Warm contact",
1,Preferred Management,"Shawnee, OK","2 managed + 7 leased hospitals",TX / OK,"Management + lease","9 hospitals, many small TX facilities",https://pm-hs.com/
1,AVEM Health Partners,"Oklahoma (405 area code)","3 critical access hospitals (Fairfax, Stroud, Anadarko)",OK,"Network operator, turnaround focus","Small, local, turnaround-minded; fast decision maker",https://avemhealth.com/critical-access-hospital-network/
2,Great Plains Health Alliance,"Kansas","30+ hospitals and health centers (31 CAHs in Kansas initiative)",KS / NE,"Not-for-profit leased, managed, affiliated","Largest pure rural CAH network in the region",https://gpha.com/about-us/
2,Community Hospital Corporation (CHC),"Plano, TX","Owns, manages, consults (30 years)",Multi-state,"Management + consulting + hospitals","Texas presence; publishes on rural RCM pain",https://chc.com/
2,HealthTech Management Services,"Brentwood, TN","~88 employees, ~$26M revenue",AL AZ CA GA IL LA MT NE NM NY OR,"Contract management for community boards","Independent, rural-only; broad state footprint",https://www.health-tech.us/
2,Mission Rural Partners,"Franklin, TN","Not stated",Nationwide,"Full-service management; invests in reopenings / REH conversions","Turnaround + Rural Emergency Hospital conversions",https://www.yourhospitalourmission.com/ruralmanagementservices
2,Rural Hospital Group,"Kansas City, MO","Not stated",Not stated,"Consulting, capital access, centralized back office","Centralized billing/RCM = data consolidation need",https://www.ruralhospital.net/
3,Ovation Health (formerly QHR Health),"Brentwood, TN","375+ hospital clients, 47 states",National,"PE-owned (Grant Avenue Capital); management + consulting","Biggest prize; partner/channel later, not first customer",https://pestakeholder.org/reports/private-equity-hospital-tracker-2026/
3,Rural Hospital Acquisition LLC,"Oklahoma","Previously listed Anadarko, Stroud, Tishomingo OK",OK,"Owner/operator with physician partners","Overlaps AVEM facility list; ownership may have changed, verify",https://www.sec.gov/Archives/edgar/data/1634291/000159991619000010/manageadmin104.htm
